26.09.2022 13:25:35 value X:99 value Y: 4,59511985013459
26.09.2022 13:25:35 value X:100 value Y: 4,605170185988092
26.09.2022 13:25:36 value X:101 value Y: 4,61512051684126
26.09.2022 13:25:36 value X:102 value Y: 4,624972813284271
26.09.2022 13:25:37 value X:103 value Y: 4,634728988229636
26.09.2022 13:25:37 value X:104 value Y: 4,6443908991413725
26.09.2022 13:25:38 value X:105 value Y: 4,653960350157523
26.09.2022 13:25:38 value X:106 value Y: 4,663439094112067
26.09.2022 13:25:39 value X:107 value Y: 4,672828834461906
26.09.2022 13:25:39 value X:108 value Y: 4,68213122712422
26.09.2022 13:25:40 value X:109 value Y: 4,6913478822291435
